Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
6,1736893380596,14/01/2025 22:23:00,1736871780596,-6,14/01/2025 10:23:00,153647,19,task-i3u4,repeat-3dmk#4->-repeat-tj2w#1,42481537,BLIND,12394667,,complete,,6786cefbfc0d3815f513d650,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1708x792,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,9135.2,9133.3,9135.2,9135.2,9133.3,9135.2,1,9135.2,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1736893380599,14/01/2025 22:23:00,1736871780599,-6,14/01/2025 10:23:00,153647,19,task-i3u4,repeat-3dmk#4->-repeat-tj2w#1,42481537,BLIND,12394667,,complete,,6786cefbfc0d3815f513d650,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,1708x792,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,END,,,35079,,,,0,,,,,,,,,,,,,,,,
1,1736895144153,14/01/2025 22:52:24,1736877144153,-5,14/01/2025 12:52:24,153647,19,task-i3u4,repeat-3dmk#3->-repeat-tj2w#1,42482033,BLIND,12395016,,complete,,6786de884498633c835569ed,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x953,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1736895146815,14/01/2025 22:52:26,1736877146815,-5,14/01/2025 12:52:26,153647,19,task-i3u4,repeat-3dmk#3->-repeat-tj2w#1,42482033,BLIND,12395016,,complete,,6786de884498633c835569ed,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x953,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,2347.7999999996273,2333.3999999999996,2347.7999999996273,2347.7999999996273,2333.3999999999996,2347.7999999996273,1,2347.7999999996273,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1736895157259,14/01/2025 22:52:37,1736877157259,-5,14/01/2025 12:52:37,153647,19,task-i3u4,repeat-3dmk#3->-repeat-tj2w#1,42482033,BLIND,12395016,,complete,,6786de884498633c835569ed,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x953,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,10457.8,10449.899999999998,10457.8,10457.8,10449.899999999998,10457.8,1,10457.8,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1736895161898,14/01/2025 22:52:41,1736877161898,-5,14/01/2025 12:52:41,153647,19,task-i3u4,repeat-3dmk#3->-repeat-tj2w#1,42482033,BLIND,12395016,,complete,,6786de884498633c835569ed,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x953,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,4646.999999999629,4633.5,4646.999999999629,4646.999999999629,4633.5,4646.999999999629,1,4646.999999999629,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1736895164824,14/01/2025 22:52:44,1736877164824,-5,14/01/2025 12:52:44,153647,19,task-i3u4,repeat-3dmk#3->-repeat-tj2w#1,42482033,BLIND,12395016,,complete,,6786de884498633c835569ed,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x953,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,2939.499999999629,2933.300000000003,2939.499999999629,2939.499999999629,2933.300000000003,2939.499999999629,1,2939.499999999629,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1736895168336,14/01/2025 22:52:48,1736877168336,-5,14/01/2025 12:52:48,153647,19,task-i3u4,repeat-3dmk#3->-repeat-tj2w#1,42482033,BLIND,12395016,,complete,,6786de884498633c835569ed,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x953,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,3516.899999999998,3500.0999999999985,3516.899999999998,3516.899999999998,3500.0999999999985,3516.899999999998,1,3516.899999999998,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1736895168339,14/01/2025 22:52:48,1736877168339,-5,14/01/2025 12:52:48,153647,19,task-i3u4,repeat-3dmk#3->-repeat-tj2w#1,42482033,BLIND,12395016,,complete,,6786de884498633c835569ed,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x953,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,memory_version_1,memory_version_1,,,,,,info,END,,,24110,,,,0,,,,,,,,,,,,,,,,
1,1736895235475,14/01/2025 22:53:55,1736877235475,-5,14/01/2025 12:53:55,153647,19,task-i3u4,repeat-3dmk#3->-repeat-tj2w#2,42482057,BLIND,12395016,,complete,,6786de884498633c835569ed,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x953,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1736895245773,14/01/2025 22:54:05,1736877245773,-5,14/01/2025 12:54:05,153647,19,task-i3u4,repeat-3dmk#3->-repeat-tj2w#2,42482057,BLIND,12395016,,complete,,6786de884498633c835569ed,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x953,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,23118.39999999851,23113.5,23118.39999999851,23118.39999999851,23113.5,23118.39999999851,1,23118.39999999851,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1736895249963,14/01/2025 22:54:09,1736877249963,-5,14/01/2025 12:54:09,153647,19,task-i3u4,repeat-3dmk#3->-repeat-tj2w#2,42482057,BLIND,12395016,,complete,,6786de884498633c835569ed,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x953,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,4195.0999999996275,4183.299999999999,4195.0999999996275,4195.0999999996275,4183.299999999999,4195.0999999996275,1,4195.0999999996275,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1736895254273,14/01/2025 22:54:14,1736877254273,-5,14/01/2025 12:54:14,153647,19,task-i3u4,repeat-3dmk#3->-repeat-tj2w#2,42482057,BLIND,12395016,,complete,,6786de884498633c835569ed,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x953,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,4321.899999999256,4316.700000000001,4321.899999999256,4321.899999999256,4316.700000000001,4321.899999999256,1,4321.899999999256,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1736895262891,14/01/2025 22:54:22,1736877262891,-5,14/01/2025 12:54:22,153647,19,task-i3u4,repeat-3dmk#3->-repeat-tj2w#2,42482057,BLIND,12395016,,complete,,6786de884498633c835569ed,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x953,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,8623.89999999851,8616.5,8623.89999999851,8623.89999999851,8616.5,8623.89999999851,1,8623.89999999851,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1736895264378,14/01/2025 22:54:24,1736877264378,-5,14/01/2025 12:54:24,153647,19,task-i3u4,repeat-3dmk#3->-repeat-tj2w#2,42482057,BLIND,12395016,,complete,,6786de884498633c835569ed,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x953,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,1494.2999999988824,1483.5999999999985,1494.2999999988824,1494.2999999988824,1483.5999999999985,1494.2999999988824,1,1494.2999999988824,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1736895264379,14/01/2025 22:54:24,1736877264379,-5,14/01/2025 12:54:24,153647,19,task-i3u4,repeat-3dmk#3->-repeat-tj2w#2,42482057,BLIND,12395016,,complete,,6786de884498633c835569ed,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x953,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,memory_version_1,memory_version_1,,,,,,info,END,,,28836,,,,0,,,,,,,,,,,,,,,,
1,1737121175240,17/01/2025 13:39:35,1737103175240,-5,17/01/2025 03:39:35,153647,19,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,42543804,BLIND,12412390,,complete,,678a591a71ffb8818e74aba9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,0,Memory Task (instr only),4,Inaccurate~Accurate,2,,Accurate,,Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1737121181521,17/01/2025 13:39:41,1737103181521,-5,17/01/2025 03:39:41,153647,19,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,42543804,BLIND,12412390,,complete,,678a591a71ffb8818e74aba9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,0,Memory Task (instr only),4,Inaccurate~Accurate,2,,Accurate,,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,5639.900000023842,5633.000000000001,5639.900000023842,5639.900000023842,5633.000000000001,5639.900000023842,1,5639.900000023842,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1737121200462,17/01/2025 13:40:00,1737103200462,-5,17/01/2025 03:40:00,153647,19,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,42543804,BLIND,12412390,,complete,,678a591a71ffb8818e74aba9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,0,Memory Task (instr only),4,Inaccurate~Accurate,2,,Accurate,,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,18948.90000002384,18933.3,18948.90000002384,18948.90000002384,18933.3,18948.90000002384,1,18948.90000002384,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1737121210903,17/01/2025 13:40:10,1737103210903,-5,17/01/2025 03:40:10,153647,19,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,42543804,BLIND,12412390,,complete,,678a591a71ffb8818e74aba9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,0,Memory Task (instr only),4,Inaccurate~Accurate,2,,Accurate,,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,10456.200000047684,10449.699999999997,10456.200000047684,10456.200000047684,10449.699999999997,10456.200000047684,1,10456.200000047684,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1737121232086,17/01/2025 13:40:32,1737103232086,-5,17/01/2025 03:40:32,153647,19,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,42543804,BLIND,12412390,,complete,,678a591a71ffb8818e74aba9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,0,Memory Task (instr only),4,Inaccurate~Accurate,2,,Accurate,,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,21189.800000000003,21183.5,21189.800000000003,21189.800000000003,21183.5,21189.800000000003,1,21189.800000000003,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1737121236743,17/01/2025 13:40:36,1737103236743,-5,17/01/2025 03:40:36,153647,19,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,42543804,BLIND,12412390,,complete,,678a591a71ffb8818e74aba9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,0,Memory Task (instr only),4,Inaccurate~Accurate,2,,Accurate,,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,4663.20000009537,4649.9000000000015,4663.20000009537,4663.20000009537,4649.9000000000015,4663.20000009537,1,4663.20000009537,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1737121236745,17/01/2025 13:40:36,1737103236745,-5,17/01/2025 03:40:36,153647,19,task-i3u4,repeat-3dmk#2->-repeat-tj2w#1,42543804,BLIND,12412390,,complete,,678a591a71ffb8818e74aba9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,0,Memory Task (instr only),4,Inaccurate~Accurate,2,,Accurate,,Accurate,memory_version_1,memory_version_1,,,,,,info,END,,,61453,,,,0,,,,,,,,,,,,,,,,
1,1737121449696,17/01/2025 13:44:09,1737099849696,-6,17/01/2025 01:44:09,153647,19,task-i3u4,repeat-3dmk#4->-repeat-tj2w#1,42544001,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,522x378,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1737121454037,17/01/2025 13:44:14,1737099854037,-6,17/01/2025 01:44:14,153647,19,task-i3u4,repeat-3dmk#4->-repeat-tj2w#1,42544001,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,522x378,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,3636.1999999761574,3630.2999999999993,3636.1999999761574,3636.1999999761574,3630.2999999999993,3636.1999999761574,1,3636.1999999761574,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1737121467558,17/01/2025 13:44:27,1737099867558,-6,17/01/2025 01:44:27,153647,19,task-i3u4,repeat-3dmk#4->-repeat-tj2w#1,42544001,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,13528.600000023842,13522.2,13528.600000023842,13528.600000023842,13522.2,13528.600000023842,1,13528.600000023842,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1737121677047,17/01/2025 13:47:57,1737100077047,-6,17/01/2025 01:47:57,153647,19,task-i3u4,repeat-3dmk#4->-repeat-tj2w#1,42544001,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,209494.1,209477.4,209494.1,209494.1,209477.4,209494.1,1,209494.1,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1737121688867,17/01/2025 13:48:08,1737100088867,-6,17/01/2025 01:48:08,153647,19,task-i3u4,repeat-3dmk#4->-repeat-tj2w#1,42544001,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,11837.100000047678,11823.5,11837.100000047678,11837.100000047678,11823.5,11837.100000047678,1,11837.100000047678,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1737121697180,17/01/2025 13:48:17,1737100097180,-6,17/01/2025 01:48:17,153647,19,task-i3u4,repeat-3dmk#4->-repeat-tj2w#1,42544001,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,8326.5,8309.899999999994,8326.5,8326.5,8309.899999999994,8326.5,1,8326.5,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1737121697184,17/01/2025 13:48:17,1737100097184,-6,17/01/2025 01:48:17,153647,19,task-i3u4,repeat-3dmk#4->-repeat-tj2w#1,42544001,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,END,,,247442,,,,0,,,,,,,,,,,,,,,,
1,1737121599251,17/01/2025 13:46:39,1737103599251,-5,17/01/2025 03:46:39,153647,19,task-i3u4,repeat-3dmk#3->-repeat-tj2w#1,42544087,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1737121606491,17/01/2025 13:46:46,1737103606491,-5,17/01/2025 03:46:46,153647,19,task-i3u4,repeat-3dmk#3->-repeat-tj2w#1,42544087,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,4937.959999999999,4931.82,4937.959999999999,4937.959999999999,4931.82,4937.959999999999,1,4937.959999999999,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1737121629683,17/01/2025 13:47:09,1737103629683,-5,17/01/2025 03:47:09,153647,19,task-i3u4,repeat-3dmk#3->-repeat-tj2w#1,42544087,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,23201.14,23193.86,23201.14,23201.14,23193.86,23201.14,1,23201.14,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1737121641181,17/01/2025 13:47:21,1737103641181,-5,17/01/2025 03:47:21,153647,19,task-i3u4,repeat-3dmk#3->-repeat-tj2w#1,42544087,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,11503.279999999999,11496.940000000002,11503.279999999999,11503.279999999999,11496.940000000002,11503.279999999999,1,11503.279999999999,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1737121660724,17/01/2025 13:47:40,1737103660724,-5,17/01/2025 03:47:40,153647,19,task-i3u4,repeat-3dmk#3->-repeat-tj2w#1,42544087,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,19549.339999999997,19544.559999999998,19549.339999999997,19549.339999999997,19544.559999999998,19549.339999999997,1,19549.339999999997,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1737121681936,17/01/2025 13:48:01,1737103681936,-5,17/01/2025 03:48:01,153647,19,task-i3u4,repeat-3dmk#3->-repeat-tj2w#1,42544087,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,21217.78,21211.100000000006,21217.78,21217.78,21211.100000000006,21217.78,1,21217.78,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1737121681941,17/01/2025 13:48:01,1737103681941,-5,17/01/2025 03:48:01,153647,19,task-i3u4,repeat-3dmk#3->-repeat-tj2w#1,42544087,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,memory_version_1,memory_version_1,,,,,,info,END,,,82589,,,,0,,,,,,,,,,,,,,,,
1,1737121770993,17/01/2025 13:49:30,1737100170993,-6,17/01/2025 01:49:30,153647,19,task-i3u4,repeat-3dmk#4->-repeat-tj2w#2,42544253,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1737121776690,17/01/2025 13:49:36,1737100176690,-6,17/01/2025 01:49:36,153647,19,task-i3u4,repeat-3dmk#4->-repeat-tj2w#2,42544253,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,5653.9,5645.5,5653.9,5653.9,5645.5,5653.9,1,5653.9,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1737121786813,17/01/2025 13:49:46,1737100186813,-6,17/01/2025 01:49:46,153647,19,task-i3u4,repeat-3dmk#4->-repeat-tj2w#2,42544253,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,10131.699999952316,10124.999999999998,10131.699999952316,10131.699999952316,10124.999999999998,10131.699999952316,1,10131.699999952316,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
